title,embed_url,question_text,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
The Pursuit of Happiness - Rubik's Cube,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182,What did the man on the right say to Will Smith's character?,"He told him ""this thing is impossible""","He said ""this is the easiest thing in the world.""",The man on the right told Will Smith's character that he would give him a $100 if he could solve it.,The man on the right told Will Smith's character that he would pay for the cab cost if he could solve it.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,Why did the man not lie about what happened to him to cause him to be late?,He couldn't think of a lie which could explain his appearance.,He wanted them to believe he is a homeless guy.,He wanted them to believe he is not good for the job.,He wanted to appear casual and laid-back.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,What was Chris Garner's excuse for being dressed in an unprofessional way?,He had been painting when he was arrested for unpaid parking tickets and ran all the way over to the interview.,He had been at the farm and he didn't have enough time to dress up.,He wanted to be honest about who he is.,He decided to make things casual.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,What did Chris Garner do when he entered the room?,He introduced himself and shook hands with the people who were waiting.,He gave in and said he was not fitted for the job.,He waited and walked out of the room without speaking a word.,He apologized for his outfit and then he introduced himself.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,How do you think the interviewers feel about the man?,They were skeptical at first but they became impressed by his honesty.,They were very impressed and hired him right away.,They thought he was crazy and asked him to leave.,They shrugged him off right away.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,Why was Chris Garner arrested?,He was arrested for not paying parking tickets.,He stole some food.,He had unpaid child support.,He was tresspassing in the building.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,Why does Chris Garner have paint on his hands?,He didn't have time to go home and shower as he spent the night in jail.,He saw a sign that said wet paint and touched it.,He was painting his neighbors fence.,He wanted to make a memorable first impression.
The Pursuit of Happiness - Job Interview,https://www.youtube.com/embed/gHXKitKAT1E?start=13&end=82,Does the man have self-confidence?,"Yes. He appears firm in demeanor, attitude, and speech, despite poor dress.",No; he is shy and timid.,No; he never spoke or looked up.,Yes; the man dressed like that on purpose.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,What does the man ask the girl to do?,The man asked her to spell a word initially and then asked her to speak properly.,The man asked her to follow him around and help him with gardening.,The man asked her to count the number of vowels in a word.,The man asked her to talk to him about her studies in school and told her to stop spending time with people who are a bad influence on her.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,What is the man doing while talking to the girl?,The man is gardening.,The man is taking a stroll.,The man is paving his driveway.,The man is taking out his trash.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,What might be the relationship between the man and the girl?,He is her coach for the Spelling Bee.,He is her uncle.,He is her next door neighbor.,He's her father.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,What did the man hope to achieve in this scene?,He hoped she would get more serious about the Spelling Bee and also to get her to speak properly.,He hoped that she would help him with gardening.,He wanted to lower her self esteem by being mean to her.,She would win the soccer game
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,Why does he ask her to spell a really hard word?,To show that she has much to learn in terms of spelling words.,To prove to her that she cannot win a spelling bee.,To show her that she is a poor speller so she will cry.,To show that he knows many hard words.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,What does the man want the girl to do besides have good spelling skills?,He wants her to speak properly.,He wants her to walk properly.,He wants her to become an expert gardener.,He wants her to know very much about history.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,Why does the girl have trouble understanding the man's criticism?,She doesn't think speaking properly is important,She doesn't think history lessons is important.,She doesn't understand the French language he is speaking in.,She doesn't like how rude he is to her.
Akeelah and the Bee - Intelligent & Insolent,https://www.youtube.com/embed/WdDUhHl-BzM?start=0&end=93,Why does the man ask the girl to speak properly?,He wants her to be prepared for a spelling competition.,He wants her to speak more like a proper lady.,He wants her to win a debate competition.,He wants her to be a good role model for others.
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,Why does the boy tell the story of the flux capactior to the old man?,To prove that he is speaking the truth about travelling through time.,To let the old man know that he is being watched at all times.,He thinks it is a funny story.,So the old man will go away.
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,"As mentioned by the boy, who was president of USA in 1985?",Ronald Reagan,Donald Trump,Jimmy Carter,Richard Nixon
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,Why does the old man open the door that he just closed after hearing the flux capacitor story from the boy?,He now knows the young man is telling the truth.,He now knows that they young man has stolen his idea for the flux capacitor.,He forgot his keys.,He wants to look at it again.
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,Why does the old man walk away from the boy to the garage and shut the door?,Because he doesn't believe the boy and doesn't want to talk to him any more.,Because he had to go water his plants inside.,Because he has to take out the trash.,Because he believes the boy but doesn't want the boy to know that.
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,Why does the young man show the old man the picture?,To prove that he is from the future.,To prove that he is from the past.,To show off his siblings.,To show him his family.
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,Why doesn't the old man believe the young man's story about where he is from?,Because he doesn't think it's possible to travel through time as he has not yet invented a time machine.,Because he is sure he knows the kid from somewhere.,Because the young man agreed that Jerry Lewis was Vice President in 1985.,Because he always lies.
Back to the Future - I'm from the Future,https://www.youtube.com/embed/SR5BfQ4rEqQ?start=90&end=172,What class year was shown on the shirt in the picture?,1984,1974,1985,2010
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,Why does the daughter walk out of the kitchen?,To go see her father.,To get out of the house.,To go back to bed.,To go the bathroom.
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,Why does the daughter point to her eye?,The mother has buttons for eyes.,There's something in her eye,Because her eyes are red,The mother has no eyes
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,How did the mother explain herself to Coraline?,That she's Caroline's other mother and that she has button eyes.,That Coraline is dreaming,That she was a ghost,That she is her aunt with square eyes
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,What did the mother take out of the oven?,Roasted Chicken,A rack of lamb.,Apple pie.,Broccoli
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,What kind of mitten did the mother put on?,Chicken-shaped oven mitten,Cat-shaped mittens,Black leather mitten,Pink mittens
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,Why was the daughter shocked?,Her mother's eyes were buttons,Her mother never cooks.,Because her mother had blonde hair,Her mother was missing hands
Caroline - Caroline's Other Parents,https://www.youtube.com/embed/wyaGIaJsmTg?start=0&end=45,How does the daughter feel after the conversation?,She feels confused and scared.,Happy and excited,Calm and relaxed.,She is mad and angry.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,Why did the man remove the cat from the room?,"Because the cat attacked, scratching his face.",Because the cat spilled its food.,Because the cat wanted to go outside.,The cat was purring loudly.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,Why did the cat throw the balls at it's owner?,The cat was upset because the man took its hat and woke it up.,The cat didn't like the taste of its food.,The cat was bored,The cat wanted to play.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,Where did the man put the cat in the end?,He threw the cat in the cleaning closet.,In his bedroom.,The bathroom,In the garage.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,What was the cat sleeping on in the clip?,The cat was sleeping on the man's hat.,The cat was sleeping on it's bed.,The owner's bed.,The cat was sleeping on the couch.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,Why would the cat be upset at what happened?,Because the cat was sleeping on the hat which was comfortable.,Because the cat was in the middle of watching TV.,Because the man took its toys.,Because the owner took away its food.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,What did the man take from the cat?,His own hat.,The cat's toy.,His food,The cat's collar.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,How did the man feel when the cat jumped on him?,He felt angry at the cat,He felt relaxed,He felt happy.,He thought it was funny.
Cat's Meow,https://www.youtube.com/embed/wOUgRif7JRc?start=0&end=40,What color was the cat in the clip?,Dark grey,Red,Yellow,Blue
Hidden Figures - You Are the Boss,https://www.youtube.com/embed/sQLYZ0Uxxvg?start=0&end=56,Who is against her being a part of the hearing?,Paul and potentially the other men in the room at the hearing.,All the other women,The president is against her being in the hearing.,Nobody
Hidden Figures - You Are the Boss,https://www.youtube.com/embed/sQLYZ0Uxxvg?start=0&end=56,What does the woman want to be a part of?,She wants to be a part of the Pentagon briefing.,She wants to be part of the party planning committee,She wants to be part of the men's golf outing.,She wants to be part of the weekly poker game
Hidden Figures - You Are the Boss,https://www.youtube.com/embed/sQLYZ0Uxxvg?start=0&end=56,Why does Paul object to her being in the hearing?,That the woman doesn't have the necessary clearance and that there is no protocol for a woman being involved.,Because she is not qualified.,Because she can't keep secrets.,Because there isn't enough room for her to be in the meeting.
Hidden Figures - You Are the Boss,https://www.youtube.com/embed/sQLYZ0Uxxvg?start=0&end=56,Why does the woman need to be in the hearing?,She cannot be effective in her work without direct access to the information that gets updated frequently at this briefing.,Because she needs to take notes for the men.,She wants to get in so she can spy on the people in the hearing.,Because she needs to relay some important information to the team.
Hidden Figures - You Are the Boss,https://www.youtube.com/embed/sQLYZ0Uxxvg?start=0&end=56,What is the name of the man who walks in to talk to the woman?,Mr. Harrison,Mr. Savage,Mr. Johnson,Mr. Peterson
Hidden Figures - You Are the Boss,https://www.youtube.com/embed/sQLYZ0Uxxvg?start=0&end=56,What might Paul be thinking?,Paul might be upset that the woman is being inappropriate for asking to be included in the Pentagon briefing.,He might be thinking that he needs to invite all the women to the meeting,Paul is upset because he has had an affair with the women and is scared she might tell.,Paul might be thinking that the woman deserves to be in charge of everyone
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,What was written on the girl's shirt?,I hate boys,"Live, laugh, love.",I love boys,I love unicorns.
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,Why does the boy stop the girl from walking away?,He really likes her and wants to confess his affection.,He likes to control her.,She took something from him.,Hecause he wanted to ask her for some lunch money
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,Why did he apologize?,He was talking to another girl the day before and didn't want this girl to believe that he's trying to make her jealous.,He farted.,he made fun of her behind her back.,he kissed another girl.
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,Why did the girl try to walk away?,She is frustrated that the guy is not being straight forward with his feelings toward her.,She was late for class.,She forgot something and had to go get it.,She had to use the restroom.
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,How might the girl feel about the boy?,She likes him and might be jealous of his interactions with the other girl he mentioned.,She hates him.,She wants him to stop bothering her.,She is indifferent towards him.
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,What does the boy like about the girl?,He likes that she's open to showing her faults and he feels comfortable around her.,He likes how wealthy she is.,He likes the way she dresses.,He likes how smart she is.
It's Kind of a Funny Story - Rooftop Scene,https://www.youtube.com/embed/UNTZVGzrIGg?start=0&end=57,What do you think the girl will choose to do after this conversation?,She might agree to see this boy.,She will spit on him.,She might tell him to never talk to her again,She'll report him to the principal.
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,"In the beginning of the cliip, what are the students learning to do?",Learning to boil eggs.,Learning to scramble eggs,Learning to make steak,Learning to cut with a knife
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,What is Julie told she will never be?,A professional cook.,A lawyer,A good wife,As good as a man
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,Why might Julia be interested in the more advanced class?,Because she wants to be a professional chef.,She wants to be a home cook,Because it's easier.,Because it's cheaper.
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,Why might the woman at the desk believe Julia would not be interested in the other class?,"It's all men, all GIs, and very expensive",Because Julia already knows everything about cooking.,It's too hard.,It's taught at night.
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,Why does Julia go to talk to the other woman at the desk?,To enroll in a more advanced class,To get a refund.,So she can complain about her instructor.,To say she likes this class.
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,Why does Julia dislike her current class?,She feels that it is not challenging enough and she is not learning anything she doesn't already know.,She doesn't like the teacher,Because it is too hard for her to understand,She thinks it's too expensive.
Julie & Julia - A Quick Learner,https://www.youtube.com/embed/AsR-WnELodI?start=0&end=65,What should you first ensure about the egg before using it?,That the egg is fresh.,That it's not cracked,That it is brown,That it's a chicken egg
My Shoes,https://www.youtube.com/embed/uofFHeP-9zM?start=96&end=166,How would the poor kid feel if their bodies could switch back?,He would probably feel thankful for being able to walk again.,need new shoes.,he would probably miss having a loving family,become friends with the other boy.
My Shoes,https://www.youtube.com/embed/uofFHeP-9zM?start=96&end=166,Why did the poor kid wish to be like the other kid?,The other kid had nicer shoes and clothes.,the other kid had a loving family,to look clean.,for nice shoes.
My Shoes,https://www.youtube.com/embed/uofFHeP-9zM?start=96&end=166,What was the poor kid wearing?,"Tattered white sneakers, ripped brown trousers, and a white shirt",Swim trunks,New gym shoes.,"A long t-shirt, no pants"
My Shoes,https://www.youtube.com/embed/uofFHeP-9zM?start=96&end=166,Who did the poor kid turn into?,He turned in to the boy with nicer clothes.,a kid on a bench.,the kid sitting alone.,the kid waiting.
My Shoes,https://www.youtube.com/embed/uofFHeP-9zM?start=96&end=166,What did the poor kid find out after turning into the other kid?,That the other kid was disabled and couldn't walk,The other kid's parents beat him,He was bored.,That the other kid was sick and dying.
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,Why did the big kid look so sad at the beginning of the video?,They didn't know how to build an airplane.,Because he had no friends.,He was lost and wanted to go back home.,He was hungry and he forgot to bring his picnic basket.
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,"At the beginning of the clip, what was the big kid looking at?",A piece of paper for the design of an airplane.,a dinner menu,He was looking at a horse.,A booklet for a game
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,What fell onto the big kid's head?,A small duffel bag,an acorn,An apple fell from a tree.,bird poop
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,What happened that surprised the big kid?,A mini plane crashed and a little person got out.,A helicopter landed behind him.,A squirrel fell in his lap.,He saw an explosion in the distance.
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,"When the little person picked up the pencil, what could they have been thinking?",They were scared and thought the big person was going to hurt them.,They were thinking that they wanted to write a letter with it.,They wanted to draw a picture.,They wanted to turn their plane into a rocket.
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,What was the boy thinking when he saw the little person come out of the airplane?,He was thinking this was unbelievable.,He thought it looked like his brother.,He thought it was funny.,He thought it was frightening.
Soar,https://www.youtube.com/embed/UUlaseGrkLc?start=35&end=88,Why did the big kid take a picture of the little person?,The big kid took a picture of the little person because the little person was very unusual and unbelievable.,The big kid took a picture of the little person so he could add it to his photo album.,The big kid took a picture of the little person so he could have the little person could sign it for him.,They posed waiting for a photo.
The Help - Minny Comes to Work for Celia,https://www.youtube.com/embed/X8I-42zG-JQ?start=0&end=41,Why does Celia want a maid?,To make her husband think she is cleaning the house herself.,because she is so busy with her job as a lawyer,Because she is too ill to do all the work herself,because her husband told her to get one
The Help - Minny Comes to Work for Celia,https://www.youtube.com/embed/X8I-42zG-JQ?start=0&end=41,What does the maid think of the wife?,"She might think that the wife is, spoiled, lazy, and deceptive.",She thinks she is very busy with keeping up the household chores,she thinks she is poor,she thinks she loves to clean and cook
The Help - Minny Comes to Work for Celia,https://www.youtube.com/embed/X8I-42zG-JQ?start=0&end=41,Why would she want the maid to work those specific hours?,She doesn't want her husband to find out about the maid.,Because those are the hours that she will be away from the house.,Because they are the most convenient for the maid,Because those are the hours that the kids will be asleep.
The Help - Minny Comes to Work for Celia,https://www.youtube.com/embed/X8I-42zG-JQ?start=0&end=41,What days does the maid work?,Sunday through Friday,Every day,Friday and Satuday,not on weekends.
The Help - Minny Comes to Work for Celia,https://www.youtube.com/embed/X8I-42zG-JQ?start=0&end=41,What hours was the maid supposed to work?,9 to 4,after 9.,before 4.,during the day.
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,Why were they throwing coins in the fountain?,They were making wishes.,To try and hit fish in the fountain,"They didn't mean to, the coin slipped",They were getting rid of extra change.
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,What did the man and woman throw in the fountain?,They each threw a single gold coin.,Each threw a rose,They each threw a dollar bill.,They each threw a handful of coins.
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,What clogged the pipe of the fountain?,The two coins clogged the pipe of the fountain.,A fish that got stuck,Mud was stuck in the pipe and clogged it.,A hairball clogged the pipe.
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,What was likely their wish?,To find a romantic partner,To be rich,To move to antarctica.,To get more coins from the fountain
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,How did the creature feel knowing that the machine malfunctioned and didn't grant the wish?,"The creature was worried and panicked, looking through the periscope to see what happened.",He was bored and didn't care,The creature danced with glee while looking through the periscope.,The creature thought it was funny and laughed out loud.
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,How do the woman and the man feel when they threw coins into the fountain?,They are hopeful that their wish will be granted.,They are eager to dispose of the coins,They were scared and covered their faces.,They were suspicious and didn't trust anything.
The Wishgranter,https://www.youtube.com/embed/zON0wDD7VJY?start=62&end=112,How did the woman and man probably feel after their wish wasn't granted?,They were disappointed.,They were angry at the fountain,They were very happy to not have their wish granted.,"They weren't interested in meeting anyways, so they didn't care."
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,Why doesn't the teacher want Julian to answer the boy's question about the game?,He wants the class to focus on questions that can help students get to know each other.,He wants to go home early.,He doesn't want to spoil the game for the other students.,He thought the boy's question was mean.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,Why doesn't the last student not want to tell the class two things about them?,He might be embarrassed by his scars.,He cannot speak English.,He isn't supposed to be in the class.,His mom told him not to talk to anyone.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,What does the teacher want each student to do?,Say two things that they think everyone should know about them,Tell the class what their parents do.,Write their name on the board.,To do their homework.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,Why do you think the teacher wants to call on the student who has scars on their face?,Because the teacher thinks he might have an interesting story and wants to include him in the discussion so that he does not feel left out even though he looks different,So everyone can laugh at him.,Because the teacher thinks the student wasn't paying attention.,Because the teacher is going through the room alphabetically.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,What does Julian think about the game Battleground Mystic?,He thinks it's awesome.,He hates it.,He thinks it's boring.,He thinks that it is only for girls.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,Which kind of table did Julian get this summer?,A ping pong table,A picnic table.,A pool table.,A massage table.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,Why did the teacher start teaching?,It was his dream to become a teacher,His mom told him to.,He wanted the summers off.,To be rich.
Wonder - Two Things About Yourself,https://www.youtube.com/embed/zJMCctR8ivc?start=0&end=63,Where did the teacher do before following his dream to teach?,He used to work on Wall Street,He used to sell Ice Cream.,He played baseball for the New York Yankees.,He was a journalist.
You've Got Mail - Just Call Me Joe,https://www.youtube.com/embed/to-69CP_lYs?start=0&end=57,How might Joe feel about Kathleen?,He might be interested in her romantically.,He thinks she looks like his sister.,He wants to be friends.,He doesn't like her.
You've Got Mail - Just Call Me Joe,https://www.youtube.com/embed/to-69CP_lYs?start=0&end=57,Where does the scene take place?,The scene takes place in a bookstore,The scene is in a library.,The scene is in the woman's house.,The scene is in a toy store.
You've Got Mail - Just Call Me Joe,https://www.youtube.com/embed/to-69CP_lYs?start=0&end=57,Why does Joe ask Kathleen who she is?,He wants to get to know her because he likes her.,Because he thought he knew her.,because he though he saw her on the news,because he thinks she is famous
You've Got Mail - Just Call Me Joe,https://www.youtube.com/embed/to-69CP_lYs?start=0&end=57,What is the female character's name?,Kathleen Kelly,Susan Reid.,Lisa Lorkle,Abigail Adards
You've Got Mail - Just Call Me Joe,https://www.youtube.com/embed/to-69CP_lYs?start=0&end=57,Why does the man make the kids go read books in this clip?,Because he wants to talk to the woman uninterrupted and that he doesn't want the kids to tell Kathleen that he owned a rival store.,He wants them to learn something.,He wants to share books with them.,He wants them to be quiet.
Bao,https://www.youtube.com/embed/cB_2qU4GLCw?start=0&end=49,What does the women prepared for eating?,She prepares dumplings.,She prepares pizza.,She prepares salad.,She prepared spaghetti
Bao,https://www.youtube.com/embed/cB_2qU4GLCw?start=0&end=49,What would the woman's husband think of her interacting with a piece of food?,He might think she's not mentally well.,He doesn't have a wife.,He might think she's angry.,He might think she's intelligent
Bao,https://www.youtube.com/embed/cB_2qU4GLCw?start=0&end=49,"What might the ""bao bun"" symbolize?",The bao bun symbolizes a baby.,The bao bun symbolizes a cow.,The bao bun is a cat.,The bao bun symbolizes wealth
Bao,https://www.youtube.com/embed/cB_2qU4GLCw?start=0&end=49,Why does the female character look so sad when the husband leaves?,The wife looks sad because the husband only grunted a good-bye at her.,The wife looks sad because she is about to eat a meal.,The wife is angry with everyone.,The wife looks sad because the husband didn't give her money
Bao,https://www.youtube.com/embed/cB_2qU4GLCw?start=0&end=49,Why does the husband eat his food so fast?,He has to go to work,The husband is very hungry.,He loves the food.,He has to go to bed
Bao,https://www.youtube.com/embed/cB_2qU4GLCw?start=0&end=49,How many people sit down at the table to eat?,Two people sit at the table,No one sits at the table.,Eight people sit at the table,Four people sit at the table
Father and Daughter,https://www.youtube.com/embed/CvA4Gn5OudI?start=35&end=80,What were the man and child riding in the beginning?,They were riding bikes.,The were riding motor scooters.,They were riding a horse drawn carriage.,Horses
Father and Daughter,https://www.youtube.com/embed/CvA4Gn5OudI?start=35&end=80,Why did the man hug the child?,Because he was going away and would miss him.,Because he want to see if the child was eating enough.,Because he wanted to make sure the child didn't steal anything.,To keep her warm
Father and Daughter,https://www.youtube.com/embed/CvA4Gn5OudI?start=35&end=80,What did the man do after hugging the child?,He rows away in a boat.,He goes back and carries the child down the hill and puts her in the boat.,Runs in a circle,He rows his boat in a circle and comes right back.
Father and Daughter,https://www.youtube.com/embed/CvA4Gn5OudI?start=35&end=80,How many people were in this scene?,There were two people in this scene.,There were three people in the scene,There were four people and two dogs.,There was only one person in the scene.
Father and Daughter,https://www.youtube.com/embed/CvA4Gn5OudI?start=35&end=80,What could the man be thinking as he leaves?,He may be thinking that he will miss his child.,That the fishing would be good,He may be thinking that he is glad the child is not coming with him.,Wishing he brought his swimsuit
Father and Daughter,https://www.youtube.com/embed/CvA4Gn5OudI?start=35&end=80,What might the child be feeling in this situation?,The child may be feeling sad since the father will be gone.,The child will be feeling relieved because her father is gone.,Happy to feel the sunshine,Wishing she brought her swimsuit
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,Why did Mike get a new car?,Because this car has 6 wheels.,Because Mike's old car is broken.,Because this was Mike's dream car,Because Mike didn't have a car.
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,What color was Mike new car?,Yellow,Blue,Red,Black
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,Is Mike happy about his new car in the beginning of the clip?,Yes he's happy about it.,No. Mike hates his new car.,Yes. But Mike is having buyer's remorse.,Mike doesn't care that he has a new car.
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,Who drove the car?,"Mike was in the drivers seat of the car, but he hadn't driven it yet.",Sully had driven the car.,Mike drove the car,The car was self-driving.
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,Does Sully think that Mike needed a new car?,No he didn't think he needed one,Yes. He think's Mike needs a new one for work.,Yes. He believed something was wrong with Mike's old car.,"Yes, because Mike collects cars"
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,Why is Mike annoyed with Sully when he sits in his new car?,Because he kept messing with the seat.,Because Sully smells.,"Sully is singing aloud, annoying Mike.",Because Sully is opening and closing windows.
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,How many wheels does Mike's new car have?,6 wheels,It has 4 wheels.,2 wheels,13 wheels
Mike's New Car,https://www.youtube.com/embed/8leqxfsphhA?start=26&end=71,What was Sully playing with when he got in Mike,He was playing with the adjustable seat.,He was playing with the stick shift,He was playing with the side mirrors.,He was playing with the radio dials
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,Why does the older woman seem shocked?,She didn't know she would be the maid of honor.,She received some bad news about her husband.,She didn't know they were getting married.,She just won the lottery.
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,Why did the younger woman give the older woman a box?,To give her a dress.,To give her a cake,To show her the ring.,to give her a necklace
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,What did the young woman give to the older woman?,A dress.,A purse,A ring,A gold necklace
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,What was the older woman wearing on her face while talking to the other woman?,Sunglasses,Nose rings.,A mask,War paint
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,What did the bride ask her future mother-in-law to be in her wedding?,Matron of honor,Bridesmaid,An usher,The ring bearer
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,Why was the bride giving the older woman a dress?,Because she was asking her to be the matron of honor.,She wanted her to give it to her daughter.,To hem for her bridesmaids,Because she borrowed it from the older woman and wanted to return it.
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,Is the man okay with this situation?,The man is perfectly okay with the situation and wants her to be the matron of honor,He is angry and hates the idea.,"No, he is confused.",He finds it hilarious and stupid.
